variable,relative_importance,scaled_importance,percentage
bio5,2336.13842773438,1,0.0702247144730761
bio4,2247.57958984375,0.962091784956206,0.0675626208954417
bio12,2119.88940429688,0.907433129445492,0.0637242324187196
bio3,1909.64270019531,0.817435592653349,0.0574041810942112
Slope,1909.26916503906,0.817275698380041,0.0573929525645222
Elevation,1725.34509277344,0.738545743818231,0.0518641639849409
ForestCover,1704.69250488281,0.729705262601262,0.0512433437156747
Cos_aspect,1700.00561523438,0.727699007495488,0.0511024550237115
bio11,1625.07629394531,0.695625000065316,0.0488500670099204
bio7,1562.01062011719,0.668629307909656,0.0469543022362861
bio15,1543.09423828125,0.660532021545388,0.0463856726133486
NDVI_2024,1513.12219238281,0.64770228271544,0.0454847078672513
bio8,1471.70043945312,0.629971418637381,0.0442395630000088
bio19,1451.51904296875,0.621332634118115,0.0436329068237489
bio14,1449.50939941406,0.62047239247711,0.0435724966001315
EVI_2024,1448.93212890625,0.620225287895909,0.0435551437514717
bio9,1433.4150390625,0.613583091671776,0.0430886974181578
bio17,1298.625,0.555885295401535,0.0390368861493543
bio6,1297.29833984375,0.555317409466138,0.0389970065216878
bio2,1268.59448242188,0.543030527369981,0.0381341637347208
LandCover,251.153686523438,0.107508049840613,0.00754972210361425
