variable,relative_importance,scaled_importance,percentage
bio4,4150.56640625,1,0.558624184073955
bio19,712.551696777344,0.171675773143726,0.0959022386976792
bio12,574.079650878906,0.138313568484158,0.0772653043408201
bio2,207.588806152344,0.0500145729122061,0.0279393499848885
bio3,188.731140136719,0.0454711771030874,0.0254012992080945
bio15,187.832321166992,0.0452546237747578,0.0252803272817479
Slope,151.753387451172,0.0365620911937847,0.0204244683611655
bio11,116.510078430176,0.0280708864830431,0.0156810760578226
bio6,111.515563964844,0.026867553256568,0.0150088650160138
bio9,111.514984130859,0.0268674135566023,0.0150087869762345
bio7,109.72151184082,0.0264353105339068,0.0147674037777453
ForestCover,109.387023925781,0.026354722035302,0.0147223850934665
bio5,106.067398071289,0.0255549213503899,0.0142755970884356
bio8,102.086616516113,0.024595827779647,0.0137398242250288
bio17,94.4994430541992,0.0227678427001915,0.0127186675515187
Elevation,93.0647811889648,0.0224221882220282,0.0125255766006832
Cos_aspect,74.6023330688477,0.0179740126447586,0.0100407181482132
bio14,73.298942565918,0.0176599855035551,0.00986529499268137
EVI_2024,73.0504684448242,0.0176001203919599,0.00983185289356197
NDVI_2024,68.2036895751953,0.016432381246206,0.00917952556605402
LandCover,13.3535614013672,0.00321728653257039,0.00179725406418926
