variable,relative_importance,scaled_importance,percentage
bio4,4011.67626953125,1,0.535176566366671
bio12,937.672790527344,0.233735906770191,0.125089980021871
bio2,557.462585449219,0.138960012721654,0.0743681424706435
bio9,286.602142333984,0.0714419915960649,0.0382340797567785
bio19,202.197814941406,0.050402325949654,0.0269741437386296
bio17,188.305191040039,0.0469392788421688,0.0251208020784796
NDVI_2024,184.152267456055,0.045904069791148,0.0245667824530826
Slope,142.822891235352,0.0356017987593101,0.0190532484164848
ForestCover,137.961898803711,0.0343900877175793,0.0184047690617427
bio7,130.150894165039,0.0324430201792546,0.0173627441420981
bio8,117.970031738281,0.0294066678894969,0.015737759549386
bio11,78.5457534790039,0.0195792851171866,0.01047837458093
Cos_aspect,75.1757431030273,0.0187392346870031,0.0100287992761296
bio6,74.5250244140625,0.0185770285055355,0.00994199032888827
EVI_2024,72.0567321777344,0.0179617514815456,0.00961270848382505
bio3,71.7972412109375,0.017897067556582,0.00957809116296388
Elevation,70.5517807006836,0.0175866086794006,0.00941194084707589
bio15,69.8423538208008,0.0174097681687963,0.00931729994981618
bio14,48.065990447998,0.0119815227397734,0.00641223019971612
bio5,33.9426155090332,0.00846095577722159,0.0045281052610337
LandCover,4.50839996337891,0.00112381948603886,6.01441853754234e-4
