variable,relative_importance,scaled_importance,percentage
bio4,1487.67736816406,1,0.360394426717072
bio12,709.864807128906,0.477163141901492,0.171966936976105
bio19,270.763977050781,0.182004501006109,0.0655934078000233
bio9,194.347305297852,0.130638073453853,0.0470812335898241
bio2,185.251083374023,0.124523695351124,0.0448776457987596
bio17,157.21826171875,0.10568034782486,0.0380866083696011
EVI_2024,150.410507202148,0.101104251782609,0.0364374088598518
Slope,99.3075561523438,0.0667534226691227,0.0240575614942409
bio5,97.670768737793,0.0656531925724784,0.0236610446993039
bio14,90.47314453125,0.0608150305081959,0.0219173980557825
bio15,82.7562484741211,0.0556278197444452,0.0200479562063199
Cos_aspect,80.1224822998047,0.0538574317351373,0.0194099182346386
ForestCover,75.0423049926758,0.0504425936688714,0.0181792296274151
bio6,71.3219375610352,0.0479418045117224,0.0172779591527841
bio3,65.854866027832,0.0442669004967813,0.0159535442270792
bio11,65.7463760375977,0.044193974745166,0.0159272621926329
NDVI_2024,64.6044006347656,0.0434263517193205,0.0156506151322984
bio7,64.4551239013672,0.043326009577541,0.0156144523836363
bio8,61.2442207336426,0.0411676765703735,0.0148366011968536
Elevation,49.1236381530762,0.0330203572389486,0.0119003527171238
LandCover,4.65808963775635,0.00313111548070727,0.00112843656865445
