variable,relative_importance,scaled_importance,percentage
bio5,2324.6162109375,1,0.442402428159748
bio19,669.386657714844,0.28795577289934,0.127392333133285
bio12,310.131530761719,0.133411928086247,0.0590217609308296
bio2,240.362396240234,0.103398743891276,0.0457438553661683
Slope,230.286483764648,0.0990643026066551,0.0438262880171363
bio6,173.219100952148,0.0745151393753253,0.032965678594306
EVI_2024,167.88232421875,0.0722193725694808,0.0319500257849118
bio3,151.251907348633,0.0650653241756557,0.0287850574043112
ForestCover,132.057037353516,0.0568081030890936,0.0251320427457643
bio4,115.073318481445,0.0495020717570567,0.02189983674426
Cos_aspect,107.677543640137,0.0463205681580923,0.0204923318268791
bio17,97.450927734375,0.0419212974924036,0.0185460838022465
bio9,89.5817184448242,0.0385361325552731,0.0170484786143387
Elevation,84.977294921875,0.0365554083818439,0.016172201430499
bio7,73.3300094604492,0.0315449961655717,0.0139555828999389
bio15,65.4801406860352,0.0281681511029416,0.0124616584447121
bio8,63.7810821533203,0.0274372525895782,0.0121383071676617
NDVI_2024,62.1998634338379,0.0267570462346355,0.0118373822245854
LandCover,35.8617858886719,0.0154269705768803,0.00682492924236085
bio11,32.7080612182617,0.0140703059130224,0.00622473750087159
bio14,27.2132034301758,0.0117065360303931,0.0051789999651855
