variable,relative_importance,scaled_importance,percentage
bio19,1619.09838867188,1,0.424981430677014
bio4,463.177001953125,0.286070942441653,0.121574838393975
bio12,286.471435546875,0.176932691398615,0.0751931083241178
bio3,224.868041992188,0.13888472965293,0.0590234311070924
EVI_2024,216.062774658203,0.133446352716981,0.0567122218962921
Slope,177.924591064453,0.109891154428486,0.0467017000277664
Elevation,147.326934814453,0.0909931946355054,0.0386704180380691
bio2,115.859436035156,0.0715579960092445,0.0304108195203888
bio14,110.050819396973,0.0679704335245778,0.0288861720830119
NDVI_2024,57.5021286010742,0.0355149069404253,0.015093175961903
bio11,50.9525260925293,0.0314696910632621,0.0133740343310287
bio7,49.2937774658203,0.0304452019782784,0.0129386454939794
ForestCover,48.426887512207,0.0299097867375008,0.0127111039589475
Cos_aspect,47.9594688415527,0.0296210960230115,0.0125884157660806
bio5,41.3628807067871,0.0255468605219949,0.0108569413339435
bio9,37.7363815307617,0.0233070342079189,0.00990505674251946
bio6,36.213737487793,0.0223666070827843,0.00950539267743229
bio8,24.2503890991211,0.0149777118356676,0.00636524940419006
bio15,22.0074310302734,0.0135923988216219,0.00577651709754541
bio17,20.3998184204102,0.0125994927566717,0.00535455045753502
LandCover,12.8648767471313,0.00794570412591432,0.00337677670716732
